====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 394 | Cyphogastra albertisi                        |   100 | High         | Buprestidae
 395 | Cyphogastra calepyga                         |     0 | Out of Stock | Buprestidae
 396 | Cyphogastra javanica                         |    78 | High         | Buprestidae
 397 | Cyphogastra spp                              |    78 | High         | Buprestidae
 398 | Cyphogastra wallacei                         |     0 | Out of Stock | Buprestidae
 399 | Cyrestis camillus                            |     0 | Out of Stock | Nymphalidae
 400 | Cyrestis cocles                              |     0 | Out of Stock | -
 401 | Cyrestis nivea                               |     0 | Out of Stock | Nymphalidae
 402 | Cyrestis telamon                             |     0 | Out of Stock | -
 403 | Cyrestis thyonneus                           |     0 | Out of Stock | -
 404 | Cyrioides imperialis                         |     5 | Out of Stock | Buprestidae
 405 | Cyriopagopus schmidti                        |    10 | Medium       | Theraphosidae
 406 | Cyrtotrachelus buqueta                       |   400 | Out of Stock | Curculionidae
 407 | Cytrotrachelus buqueti                       |    75 | High         | Cerambycidae
 408 | Danaus affinis/genutia                       |   340 | High         | -
 409 | Danaus alcippus                              |     0 | Out of Stock | Nymphalidae
 410 | Danaus c. cynea                              |     0 | Out of Stock | -
 411 | Danaus chrysippus                            |   130 | High         | -
 412 | Danaus hypsea                                |     0 | Out of Stock | -
 413 | Danaus ismare                                |     0 | Out of Stock | -
 414 | Danaus petiverana                            |     0 | Out of Stock | -
 415 | Danaus plexippus                             |    52 | High         | -
 416 | Danaus vulgaris                              |     0 | Out of Stock | -
 417 | Danis danis                                  |     0 | Out of Stock | -
 418 | Daphnis nerii                                |    60 | High         | -
 419 | Decolorrihna micans                          |     2 | Low          | Cetonidae
 420 | Delias aedaja                                |     0 | Out of Stock | -
 421 | Delias albertisi                             |     0 | Out of Stock | -
 422 | Delias apoensis                              |     0 | Out of Stock | -
